GR,F1,AGE,Count
Мужчины,"J12, J15, J16- J18",45-49,21
Мужчины,"J12, J15, J16- J18",50-54,7
Мужчины,"J12, J15, J16- J18",55-59,18
Мужчины,"J12, J15, J16- J18",60-64,19
Мужчины,"J12, J15, J16- J18",65-69,28
Мужчины,"J12, J15, J16- J18",70-74,34
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",Всего,113
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",0-4,
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",5-9,
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",10-14,
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",15-19,
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",20-24,1
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",25-29,1
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",30-34,8
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",35-39,5
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",40-44,20
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",45-49,31
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",50-54,12
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",55-59,22
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",60-64,10
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",65-69,3
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",70-74,
Мужчины,"K73, K74.0-K74.2, K74.6",Всего,239
Мужчины,"K73, K74.0-K74.2, K74.6",0-4,
Мужчины,"K73, K74.0-K74.2, K74.6",5-9,
Мужчины,"K73, K74.0-K74.2, K74.6",10-14,
Мужчины,"K73, K74.0-K74.2, K74.6",15-19,
Мужчины,"K73, K74.0-K74.2, K74.6",20-24,1
Мужчины,"K73, K74.0-K74.2, K74.6",25-29,2
Мужчины,"K73, K74.0-K74.2, K74.6",30-34,2
Мужчины,"K73, K74.0-K74.2, K74.6",35-39,13
Мужчины,"K73, K74.0-K74.2, K74.6",40-44,28
Мужчины,"K73, K74.0-K74.2, K74.6",45-49,29
Мужчины,"K73, K74.0-K74.2, K74.6",50-54,41
Мужчины,"K73, K74.0-K74.2, K74.6",55-59,36
Мужчины,"K73, K74.0-K74.2, K74.6",60-64,38
Мужчины,"K73, K74.0-K74.2, K74.6",65-69,35
Мужчины,"K73, K74.0-K74.2, K74.6",70-74,14
Мужчины,All,Всего,3374
Мужчины,All,0-4,83
Мужчины,All,5-9,6
Мужчины,All,10-14,10
Мужчины,All,15-19,11
Мужчины,All,20-24,8
Мужчины,All,25-29,17
Мужчины,All,30-34,56
Мужчины,All,35-39,90
