GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Мужчины,A00-A09,3,1,,,,,,,,,,,,,1,1
Мужчины,"A35, A36, A80",0,,,,,,,,,,,,,,,
Мужчины,A37,0,,,,,,,,,,,,,,,
Мужчины,A39,1,1,,,,,,,,,,,,,,
Мужчины,"A40.3, A41.3",0,,,,,,,,,,,,,,,
Мужчины,A49.2,0,,,,,,,,,,,,,,,
Мужчины,"A50-A60, A63, A64",1,,,,,,,,,,1,,,,,
Мужчины,B01,0,,,,,,,,,,,,,,,
Мужчины,B05,0,,,,,,,,,,,,,,,
Мужчины,B06,0,,,,,,,,,,,,,,,
Мужчины,B15-B19,3,,,,,,,,,,,1,,1,,1
Мужчины,B20-B24,20,,,,,,1,3,3,5,4,1,1,1,1,
Мужчины,B50-B54,0,,,,,,,,,,,,,,,
Мужчины,"G00.0, G00.1",0,,,,,,,,,,,,,,,
Мужчины,"A15-A19, B90, J65",27,,,,,,,1,,4,3,1,5,9,3,1
Мужчины,A38,0,,,,,,,,,,,,,,,
Мужчины,"A40 (excl. A40.3), A41 (excl. A41.3)",0,,,,,,,,,,,,,,,
Мужчины,"A46, L03",4,,,,,,,,,1,,1,,1,,1
Мужчины,A48.1,0,,,,,,,,,,,,,,,
Мужчины,A49.1,0,,,,,,,,,,,,,,,
Мужчины,"G00.2, G00.3, G00.8, G00.9",1,,,,,,,1,,,,,,,,
Мужчины,G03,6,,,,,,,,,,1,,1,2,2,
Мужчины,C00-C14,34,,,,,,,1,2,,3,5,7,9,3,4
Мужчины,C15,25,,,,,,,2,,1,,2,3,8,7,2
Мужчины,C16,64,,,,,,,,1,1,3,8,4,12,18,17
Мужчины,C22,46,1,,,,,1,,1,1,2,7,9,9,7,8
Мужчины,C33-C34,141,,,,1,,2,3,2,1,1,7,15,40,44,25
Мужчины,C45,1,,,,,,,,,,,,1,,,
Мужчины,C43,3,,,,,,,,1,1,,1,,,,
Мужчины,C67,20,,,,,,,,,2,1,1,1,1,5,9
Мужчины,C53,0,,,,,,,,,,,,,,,
Мужчины,C18-C21,75,,,,,,,,3,2,2,7,14,15,16,16
Мужчины,C50,1,,,,,,,,,,1,,,,,
Мужчины,"C54,C55",0,,,,,,,,,,,,,,,
Мужчины,C62,2,,,,1,,,,1,,,,,,,
Мужчины,C73,5,,,,,,,,,,,,3,1,1,
Мужчины,C81,4,,,,,1,,1,,1,,,,,1,
Мужчины,"C91.0, C91.1",14,2,2,2,2,,,,2,,1,,,,1,2
Мужчины,D10-D36,7,,,1,,,,1,,,,1,,,1,3
Мужчины,D50-D53,1,,,,,,,,,,,,1,,,
Мужчины,E10-E14,160,,,,,,,1,1,5,5,12,17,37,45,37
Мужчины,E00-E07,0,,,,,,,,,,,,,,,
Мужчины,"E24-E25 (except E24.4), E27",0,,,,,,,,,,,,,,,
Мужчины,"G40,G41",20,2,1,,2,,2,1,2,1,1,1,1,2,3,1
Мужчины,I71,23,,,,,,,,1,,,1,8,3,5,5
Мужчины,"I10-I13, I15",108,,,,,,1,,2,8,7,13,27,24,17,9
Мужчины,I20-I25,978,,,,,1,1,9,18,34,77,118,171,182,189,178
Мужчины,I60-I69,480,1,1,,1,1,3,7,7,18,35,43,67,88,105,103
Мужчины,"I70, I73.9",5,,,,,,,,,,,,,2,3,
Мужчины,I00-I09,5,,,,,,,,,,,2,,1,,2
Мужчины,"I26, I80, I82.9",39,,,1,,,,3,3,2,2,5,5,7,7,4
Мужчины,J09-J11,27,,,,,,1,,1,4,2,6,3,2,3,5
Мужчины,J13-J14,0,,,,,,,,,,,,,,,
Мужчины,J40-J44,212,,,,,,,,1,1,10,8,21,42,61,68
Мужчины,"J60-J64, J66-J70, J82, J92",0,,,,,,,,,,,,,,,
Мужчины,"J00-J06, J30-J39",3,2,,,,,,,,,,,1,,,
Мужчины,"J12, J15, J16- J18",177,16,1,,2,2,,3,13,13,21,7,18,19,28,34
Мужчины,J20-J22,0,,,,,,,,,,,,,,,
Мужчины,J45-J47,6,,,,,,,,,,,1,1,1,1,2
Мужчины,J80,2,1,1,,,,,,,,,,,,,
Мужчины,J81,1,,,1,,,,,,,,,,,,
Мужчины,"J85, J86",6,,,,,,1,,,2,,1,,,,2
Мужчины,"J90, J93, J94",3,,,,,,,,,1,,1,,,,1
Мужчины,K25-K28,35,,,,1,,,,1,3,2,1,4,7,11,5
Мужчины,K35-K38,0,,,,,,,,,,,,,,,
Мужчины,K40-K46,2,1,,,,,,,,,,,1,,,
Мужчины,K80-K81,1,,,,,,,,,,,,,,1,
Мужчины,K82-K83,1,,,,,,,,,,,1,,,,
Мужчины,"K85.0,1,3,8,9",23,,,,,,,6,3,4,1,2,2,3,1,1
Мужчины,"K86.1,2,3,8,9",5,,,,,,,,1,,,1,1,1,1,
Мужчины,N00-N07,0,,,,,,,,,,,,,,,
Мужчины,"N13,N20-N21, N35",2,,,,,,,,,,,,,,1,1
Мужчины,N17-N19,72,,,3,,,1,3,1,4,1,4,12,12,18,13
Мужчины,N23,0,,,,,,,,,,,,,,,
Мужчины,N25,0,,,,,,,,,,,,,,,
Мужчины,N26-N27,0,,,,,,,,,,,,,,,
Мужчины,"N34.1,N70-N73,N75.0,N75.1,N76.4,6",0,,,,,,,,,,,,,,,
Мужчины,N40,3,,,,,,,,,,,,1,1,,1
Мужчины,A33,0,,,,,,,,,,,,,,,
Мужчины,A34,0,,,,,,,,,,,,,,,
Мужчины,O00-O99,0,,,,,,,,,,,,,,,
Мужчины,P00-P96,31,31,,,,,,,,,,,,,,
Мужчины,"Q00, Q01, Q05",1,1,,,,,,,,,,,,,,
Мужчины,Q20-Q28,26,23,,2,,,,,,1,,,,,,
Мужчины,Y40-Y59,0,,,,,,,,,,,,,,,
Мужчины,"Y60-Y69,Y83-Y84",0,,,,,,,,,,,,,,,
Мужчины,Y70–Y82,0,,,,,,,,,,,,,,,
Мужчины,V01-V99,0,,,,,,,,,,,,,,,
Мужчины,"W00-X39, X46-X59",0,,,,,,,,,,,,,,,
